Type	Name	ID	Message	Source
	VerticalStructure	VerticalStructure  OT-1028	1dac7760-bdca-43d1-ae5d-fff35fedc346	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1034	31f0bd1d-019e-489c-a4a8-0f02118de48d	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1036	4ac83481-2d79-4d0d-8f27-89214e8c9f79	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1037	19b61bd7-1020-4543-a83d-6b2861869def	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1038	fefe4367-8d4e-436d-9f68-955dc9da51b4	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1039	25d086c8-7136-44a7-ae9f-c1c12e2f142e	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1040	51418efe-a737-43fb-a349-575356a4184e	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1041	1db40931-3c02-4822-bfcd-84a668d6fdd1	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1042	06a3d782-5b1c-404f-9e1c-ad03bbf3a168	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1043	3b33e9ca-77cb-4962-b84e-16533f6ccbac	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1044	548e9d82-7367-4bfd-94dd-dd32fde1d9e7	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1051	baf79979-dcb1-4a4e-b5a3-0a0cfce23276	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1052	e53483de-e0c7-4a07-a7fe-cfee78b6c123	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1053	0f942919-c921-488f-80fc-53057dd0a426	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1054	ee6dcaef-496b-4f3e-9fb2-a360a8d12332	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1061	a77fd2f8-dc35-4ef7-ad5e-b742385ca2d1	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1063	e0462417-61a1-4c62-928a-c106facef570	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1064	af0e0d8a-ca1b-4aa0-b12e-67ac93fa3568	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1065	dd11c85b-24eb-4591-93a5-bbc59f5964c0	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1066	40e8238f-6f6f-478c-83b8-e9e469c6c127	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1067	0d9431c6-ea91-4011-ad13-bdb8a31ff884	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1068	7fe4a18d-79a5-4ec8-83d6-8dfe98756e42	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1069	7fc6a7cf-e6e4-4fa2-ab2c-bdadd78a45f1	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1070	fd6a2ef5-6989-4e89-9fd2-497aeffe3ab4	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1071	401fea47-4373-47f9-89bc-2f6a2433f43b	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1072	1520e2c6-086e-4fc5-b007-7fe9176def57	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1073	44475e00-84fa-4b69-af72-e7ec13e3eb18	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1074	2730d303-2207-4a82-a4a2-94d85f27ef83	File name obstcales-all-in-one.xml (AIXM 5.1)
